Food Name,Ingredients,SuitableForDiabetic,Calories_(kcal),Carbohydrate_(g),Protein_(g),Fat_(g),Fiber_(g),Free_sugars_(g),Cholesterol_(mg),Sodium_(mg)
"PUMPKIN SEEDS, DRY","['PUMPKIN SEEDS, DRY']",TRUE,290.1459459,20.97941667,4.363083333,5.174083333,,1.72575162,17.62763952,594.6611403
QUINOA,['QUINOA'],TRUE,120,21,4,2,,0.973529616,0,35.51198816
RAMONTCHI,['RAMONTCHI'],TRUE,290.1459459,20.97941667,4.363083333,5.174083333,,1.72575162,17.62763952,594.6611403
RED RICE,['RED RICE'],TRUE,112,23,2.4,0.8,,0.973529616,0,35.51198816
SALMON,['SALMON'],TRUE,208,0,20,13,,0.973529616,0,35.51198816
SKIM MILK,['SKIM MILK'],TRUE,80,12,8,0,,0.973529616,0,35.51198816
SOYA MEAT CURRY,['SOYA MEAT CURRY'],TRUE,84,8,6,4,,0.973529616,0,35.51198816
SOYA MEAT CURRY WITH COCONUT MILK,['SOYA MEAT CURRY WITH COCONUT MILK'],TRUE,110,13,11,0.6,,0.973529616,0,35.51198816
SPICY CASHEW,['SPICY CASHEW'],TRUE,221,25,6.06,9.8,,0.973529616,0,35.51198816
STRING HOPPERS,['STRING HOPPERS'],TRUE,200,28.8,7.38,6,,0.973529616,0,35.51198816
THALA BOLA,['THALA BOLA'],TRUE,26,3.2,0.6,1.6,,0.973529616,0,35.51198816
THOSAI,['THOSAI'],TRUE,120,13.8,2.2,6.6,,0.973529616,0,35.51198816
TOMATO SAUCE,['TOMATO SAUCE'],TRUE,41,8.75,0.37,0.45,,0.973529616,0,35.51198816
TUNA,['TUNA'],TRUE,132,0,29,0.6,,0.973529616,0,35.51198816
VEGETABLE CURRY WITH COCONUT MILK,['VEGETABLE CURRY WITH COCONUT MILK'],TRUE,120,10,1,9,,0.973529616,0,35.51198816
VEGETABLE CURRY WITH COCONUT OIL,['VEGETABLE CURRY WITH COCONUT OIL'],TRUE,80,12,1,5,,0.973529616,0,35.51198816
VEGETABLE ROLL,['VEGETABLE ROLL'],TRUE,120,18,3,4,,0.973529616,0,35.51198816
VEGETABLE SOUP,['VEGETABLE SOUP'],TRUE,30,6,1.5,0.3,4.264503002,2.638001919,0,21.76308441
WALNUTS,['WALNUTS'],TRUE,190,4,4,18,,0.973529616,0,35.51198816
WATERMELON,['WATERMELON'],TRUE,30,7.6,0.6,0.2,,0.973529616,0,35.51198816
WHITE RICE,['WHITE RICE'],TRUE,110,24,2,0,,0.973529616,0,35.51198816
WHITE SUGAR,['WHITE SUGAR'],TRUE,16,4,0,0,,0.973529616,0,35.51198816
WHOLE MILK,['WHOLE MILK'],TRUE,130,10,7,7,,0.973529616,0,35.51198816
WONDER CHOC ICE CREAM,['WONDER CHOC ICE CREAM'],TRUE,206,18,2.4,14,,0.973529616,0,35.51198816
YOGURT,['YOGURT'],TRUE,90,10,5,3,,0.973529616,0,35.51198816
Red Rice with Dhal Curry,"[""Red Rice"", ""Dhal"", ""Turmeric"", ""Garlic"", ""Salt""]",TRUE,280,45,10,5,8,,,
Kola Kenda,"[""Gotukola"", ""Rice"", ""Coconut Milk"", ""Garlic"", ""Salt""]",TRUE,120,20,3,2,2,,,
Boiled Mung Beans,"[""Mung Beans"", ""Water"", ""Salt""]",TRUE,150,27,9,1,7,,,
Grilled Fish with Gotukola Salad,"[""Fish"", ""Gotukola"", ""Onion"", ""Lime"", ""Salt""]",TRUE,220,5,25,10,3,,,
Boiled Jak Seeds,"[""Jak Seeds"", ""Water""]",TRUE,180,30,5,1,6,,,
