Food,Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Category,Vegetarian,Recipe/Single_food_item,Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Fiber_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
"CASHEW NUTS, ROASTED, SALTED",,,,,,,R,,18.839399,46.063202,25.642799,4.3248,20.512199,0.0,34.98,277.44,6.4247999,5.3783998,0.50286001,0.048450001,1.07559,0.15504,,12.46848,0.0,0.0,1.581,,,1.7136,547.73999,657.90002,9.1188002,11.7708,,7806.0601,28744.619,7484.7598,3.1926
"CASHEWS, W/ COCONUT MILK",,,,,,,R,,8.5,26.7,13.6,2.4,9.3,0.0,28.0,129.7,2.96,2.21,0.16,0.02,0.4,0.05,0.0,13.4,1.0,29.0,0.4,8.3,0.1,,,,,,,,,,
"CASSAVA AND TOMATO, BOILED, W/ COCONUT MILK",,,,,,,R,,1.84914,5.629077,13.717,4.101953,9.360323,0.0,25.226326,23.827887,1.466929,0.40345299,0.057995602,0.0296039,0.5974018,0.11130125,,22.591177,15.406446,35.254406,0.151281,,,0.23863199,42.774418,260.52341,9.5898838,0.41502503,,73.048386,31.267096,152.45815,2.3080649
"CASSAVA CHIPS,FRIED,SUGAR COATED",,,,,,,R,,0.36,8.8,53.0,,,,11.0,,0.3,0.4,0.04,0.01,0.3,0.15,0.0,11.5,18.8,0.0,,,,,,,,,,,,,
"CASSAVA LEAVES, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",,,,,,,R,,8.0,8.3,8.8,3.1,1.1,0.0,215.0,18.2,18.95,3.03,0.2,1.39,0.5,0.05,0.0,17.5,34.4,23.0,0.5,1.0,0.1,,,,,,,,,,
"CASSAVA LEAVES, TEMPERED",,,,,,,R,,5.801773548,7.523952007,6.201632977,3.992795944,4.507010937,0.0,178.9590302,27.67990112,2.615865946,1.598688006,0.0068918,0.132108897,0.934130251,0.259722412,,63.10897446,52.52313232,1112.880981,0.015151001,,,0.345133007,57.68714905,490.0536194,13.15183258,7.624312878,,,,,0.910764992
"CASSAVA LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT",,,,,,,R,,6.7,21.0,6.7,4.381,0.1,0.0,156.0,17.7,14.77,2.4,0.16,1.08,0.4,0.04,0.0,12.9,26.8,1.0,1.1,1.2,0.0,,,,,,,,,,
"CASSAVA ROOT, FRESH, DEEP-FRIED",,,,,,,R,,1.868054032,16.03806877,28.32001877,8.581903458,24.64680672,0.0,44.34097672,44.24850845,2.870497704,0.407877505,0.087701775,0.029471299,0.665067792,0.14718011,,26.05888176,18.89478111,4.857379913,0.384647012,,,0.304591984,70.85147095,481.101532,16.56005478,0.514793992,,,,,3.257637024
"CASSAVA ROOT, FRESH,BOILED",,,,,,,R,,0.5,0.2,33.5,1.5,32.1,0.0,17.0,18.0,0.5,0.3,0.04,0.02,0.4,0.0,0.0,11.0,17.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"CASSAVA, BOILED AND TEMPERED",,,,,,,R,,1.455864072,8.711854935,19.02280045,5.61216116,15.45666981,0.0,56.26021194,30.54736328,1.295941949,0.287185997,0.074713998,0.038340099,0.568944573,0.122207046,,25.59797096,16.39490318,12.28779507,0.212617993,,,0.267654002,56.0307045,341.3888855,11.52822304,0.440740973,,,,,2.644542933
