Food,Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Category,Vegetarian,Recipe/Single_food_item,Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Fiber_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
"GREEN GRAM SPROUTS, BOILED",,,,,,,R,,2.5,0.5,2.8,4.9,1.4,0.0,19.0,14.0,2.2,0.3,0.09,0.05,0.7,0.07,0.0,17.0,2.0,8.0,0.0,0.0,0.0,,,,,,,,,,
"GREEN GRAM, SPLIT, BOILED",,,,,,,R,,7.8436799,0.46592799,17.869513,3.254792,13.756608,0.0,11.167841,39.419521,1.1082796,0.74742043,0.073325001,0.029162399,0.384642,0.045251999,,16.496616,0.0,5.7439871,0.083800003,,,0.60671198,114.6384,305.45099,3.1012704,12.968888,,81.788803,14.239296,191.064,0.419
"GREEN GRAM, SPLIT, BOILED & TEMPERED",,,,,,,R,,8.12660408,5.294236183,19.06662941,3.610351086,14.10596943,0.0,14.08324146,44.16645813,1.232501388,0.82785356,0.089876406,0.037409898,0.470311433,0.069128953,,21.32516479,1.898029923,7.796247959,0.092751004,,,0.669273973,126.2919464,352.496582,3.896575212,13.03497219,,,,,0.995491982
"GREEN GRAM, SPLIT, BOILED & TEMPERED, W/ COCONUT MILK",,,,,,,R,,6.8971877,12.945209,16.256752,2.8779039,10.543738,0.0,37.434052,34.643398,1.51065,0.85365802,0.077163704,0.0297247,0.62208498,0.068474405,,21.34479,3.7421486,12.49484,0.083329998,,,0.50170398,95.971985,275.18039,3.059232,9.836834,,74.894287,15.042606,166.19966,0.78342402
"GREEN GRAM, SPLIT, BOILED, W/ COCONUT MILK",,,,,,,R,,6.8971877,8.1452084,16.256752,2.8779039,10.543738,0.0,37.434052,34.643398,1.51065,0.85365802,0.077163704,0.0297247,0.62208498,0.068474405,,21.34479,3.7421486,12.49484,0.083329998,,,0.50170398,95.971985,275.18039,3.059232,9.836834,,70.522453,14.676366,166.1387,0.78342402
"GREEN GRAM, WHOLE, BOILED",,,,,,,R,,7.6,0.4,15.5,5.7,13.2,0.0,31.0,67.3,1.65,0.9,0.1,0.07,0.5,0.07,0.0,48.8,0.0,8.0,0.1,1.4,0.6,,,,,,,,,,
"GREEN GRAM, WHOLE, BOILED & TEMPERED",,,,,,,R,,11.4,5.5,24.3,9.2,19.4,0.0,50.0,103.2,2.55,1.38,0.15,0.12,0.8,0.12,0.0,76.1,0.6,17.0,0.2,1.5,0.4,,,,,,,,,,
"GREEN GRAM, WHOLE, BOILED & TEMPERED, W/ COCONUT MILK",,,,,,,R,,9.000017166,10.86361885,20.11394882,6.864501953,16.56640244,0.0,72.2194519,46.84481049,1.993404508,1.192224026,0.119146399,0.085404798,0.883354962,0.120121695,,32.26168823,3.783575535,14.44518566,0.159814999,,,0.806468964,117.8376465,354.2409363,5.151568413,9.529382706,,,,,0.883904994
"GREEN GRAM, WHOLE, BOILED, W/ COCONUT MILK",,,,,,,R,,7.6,9.5,16.4,5.5,12.8,0.0,34.0,62.7,1.66,0.84,0.09,0.07,0.5,0.07,0.0,45.4,0.7,21.0,0.1,0.8,0.3,,,,,,,,,,
GREEN LEAF SAMBOL,,,,,,,R,,2.9,12.2,6.5,4,0.5,0.0,136.0,20.6,6.21,0.84,0.03,0.1,0.1,0.04,0.0,14.5,20.7,298.1263,0.8,1.4,0.0,,,,,,,,,,
GUAVA,50.0,9.2,1.0,0.2,,,S,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GUAVA,PINK FLESH,RAW",,,,,,,S,,1.2,0.3,9.1,7.4,0.7,0.0,14.0,13.3,0.4,0.21,0.03,0.03,0.6,0.16,0.0,32.2,222.0,0.0,0.1,1.8,0.2,,,,,,,,,,
"GUAVA,WHITE FLESH,RAW",,,,,,,S,,1.4,0.3,5.1,8.6,0.6,0.0,19.0,15.3,0.32,0.23,0.05,0.04,0.6,0.11,0.0,29.8,214.0,50.0,0.1,5.3,0.4,,,,,,,,,,
"GYMNEMA LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT",,,,,,,R,,4.507966042,19.65065193,4.046452999,7.572259903,1.808789968,0.0,225.6841125,198.1896057,3.629083157,1.639875054,0.0115928,0.1902619,0.743808031,0.229161948,,61.37093735,61.38724899,1134.541504,0.58930999,,,0.663964033,113.5591431,679.7158813,32.14291,28.01921844,,,,,0.805815995
HALAPA,,,,,,,R,,4.6,8.4,55.9,1.3,11.5,0.0,11.0,43.8,1.67,1.06,0.1,0.04,2.2,0.11,0.0,19.2,0.1,0.0,0.5,0.4,0.0,,,,,,,,,,
"HALMASSA ANCHOVY (SPRAT), DRIED",,,,,,,S,,51.16,5.92,,,,171.0,117.8,162.0,3.06,4.2,,0.25,5.72,0.62,2.22,438.0,,,,,,0.63,419.0,694.0,10921.0,354.0,,2497.0,1164.0,1667.0,
"HALMASSA ANCHOVY (SPRAT), DRIED, BOILED",,,,,,,R,,39.681572,4.800508,3.251961,1.668628,0.42186201,130.21651,107.22873,135.11879,2.9397421,3.3203554,0.019263839,0.21377125,4.3496981,0.45754158,1.6060035,304.59558,2.5766902,20.197735,0.048393998,,,0.56287301,334.92786,617.52667,8318.3643,270.55405,,,,,
"HALMASSA ANCHOVY (SPRAT), DRIED, BOILED, W/ COCONUT MILK",,,,,,,R,,18.960007,16.487228,4.9229832,1.249688,0.14838301,57.1824,60.850235,62.102077,2.3412261,1.91831,0.02057342,0.096773647,2.3976698,0.22140388,0.70524961,142.93864,3.0915785,12.202394,0.030092999,,,0.25731599,151.48804,291.45248,3653.2585,119.15868,,,,,
"HALMASSA ANCHOVY (SPRAT), DRIED, FRIED",,,,,,,R,,44.91848,21.737761,0.0,0,0.0,150.138,103.4284,142.23599,2.6866801,3.6875999,0.0,0.21950001,5.0221601,0.48992401,1.46187,346.1076,0.0,0.0,0.0,,,0.55313998,367.88199,609.33197,9588.6377,310.81201,,,,,
"HALMASSA ANCHOVY (SPRAT), DRIED, TEMPERED",,,,,,,R,,27.46488,13.527148,3.4665232,1.31533,0.42163399,89.262001,74.270126,94.238632,1.902095,2.2999809,0.016458999,0.1396694,3.0407991,0.34212285,1.100898,215.55223,7.2564597,14.496631,0.050253998,,,0.45334002,235.14462,462.01151,5702.749,185.18091,,,,,
"HALMASSA ANCHOVY (SPRAT), FRESH, BOILED, W/ COCONUT MILK",,,,,,,R,,13.9,14.9,4.3,0.8,1.8,0.0,109.0,42.6,1.35,1.05,0.01,0.06,1.3,0.03,0.52724999,12.5,3.3,24.0,0.0,0.3,0.0,,,,,,,,,,
"HALMASSA ANCHOVY (SPRAT), FRESH, FRIED",,,,,,,R,,21.216,19.140322,0.0,0,0.0,57.87072,473.28,46.599041,1.5232,2.5023999,0.0,0.19584,6.27776,1.361088,1.3872,59.603905,0.0,0.0,0.0,,,0.15232,105.96032,308.992,94.2752,167.552,,,,,
"HALMASSA ANCHOVY (SPRAT), FRESH, TEMPERED",,,,,,,R,,10.610541,9.9280233,7.403954,3.1937311,2.295512,23.988689,224.05354,39.863735,1.617159,1.306659,0.041597478,0.11386315,2.8369644,0.67886817,0.728365,41.684608,12.896813,43.765598,0.097162001,,,0.39613098,79.395744,343.8779,45.638939,70.477394,,,,,
"HALMASSA ANCHOVY (SPRAT), FRESH, TEMPERED, W/ COCONUT MILK",,,,,,,R,,12.1,21.0,4.3,1.2,2.0,54.9,73.0,32.5,1.33,1.13,0.01,0.11,3.6,0.16,0.9543035,5.6,5.8,106.0,0.4,0.6,0.0,,,,,,,,,,
HAWAIIAN COOKIE,5.0,3.5,0.32,1.1,,,S,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELAPA,100.0,80.0,11.0,17.0,,,S,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPPERS,30.0,20.0,3.0,4.0,,,R,120.0,4.6,5.2,55.4,1.8,53.4,0.0,19.0,22.0,1.52,0.97,0.04,0.02,1.8,0.08,0.0,15.7,0.4,0.0,0.1,0.6,0.0,,,,,,,,,,
"HURULLA OR KEERAMIN SARDINELLA, FRESH, BOILED, W/ COCONUT MILK",,,,,,,R,,9.0,4.2,3.1,0.8,1.3,7.8,15.0,17.7,0.87,0.3,0.02,0.03,1.4,0.06,3.401,6.3,2.8,55.0,0.2,1.1,0.6,,,,,,,,,,
"HURULLA OR KEERAMIN SARDINELLA, FRESH, TEMPERED",,,,,,,R,,13.952,21.9984,0.0,0,0.0,9.9840002,23.902399,24.992001,0.15912001,0.27063999,0.074879996,0.0128,0.52288002,0.057599999,6.0799999,8.2828798,0.0,0.0,0.0,,,0.39039999,146.56,233.60001,58.822399,20.4928,,,,,
"HURULLA OR KEERAMIN SARDINELLA, FRESH, TEMPERED, W/ COCONUT MILK",,,,,,,R,,8.5,13.1,4.5,1.3,1.7,6.9,22.0,22.1,1.15,0.34,0.03,0.03,1.3,0.07,0.50824052,9.6,5.9,76.0,0.3,1.0,0.3,,,,,,,,,,
"ICE CREAM, CHOCOLATE",,,,,,,S,,3.3,14.2,22.8,,,,110.0,,0.5,0.4,0.04,0.3,0.2,0.06,0.29,3.0,0.0,2.8,,,,,,,,,,,,,
"ICE CREAM, FRUIT FLAVOR",,,,,,,S,,3.2,8.4,27.6,0.9,,29.0,120.0,14.0,0.21,0.34,0.045,0.255,0.17,0.05,0.3,12.0,7.7,96.0,,,,0.72,100.0,188.0,60.0,1.9,96.0,5.19,,,
"ICE CREAM, VANILLA",,,,,,,S,,2.6,7.7,29.8,0,0.0,0.0,80.0,12.0,0.35,0.2,0.41,0.26,0.2,0.0,0.39,8.0,1.0,0.0,0.6,1.9,0.0,,,,,,,,,,
"ICE CREAM,W/CONE",,,,,,,S,,2.9,7.5,32.0,0,3.3,0.0,80.0,13.0,0.43,0.2,0.14,0.25,0.3,0.0,0.35,8.0,1.0,0.0,0.6,0.0,0.0,,,,,,,,,,
ICED COFFEE,,,,,Breakfast,Yes,S,918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDIYAPPAM,100.0,40.0,3.0,0.5,,,S,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IDLI, MILLET",,,,,,,R,,12.151173,1.564721,54.321392,10.364388,51.386478,0.0,244.70097,126.07495,3.92396,2.3083863,0.20522599,0.10225958,1.0296532,0.06301035,0.0,25.244576,0.0,0.69816858,0.14137,,,1.313658,235.73116,514.38037,22.805834,18.445082,,262.17221,379.1564,524.19342,0.55640399
"IDLI, RICE & DAL",,,,,,,R,,12.656596,1.243006,60.012241,5.1767478,37.265926,0.0,38.46534,72.303955,2.7557981,1.931726,0.081844702,0.04938975,1.3100407,0.13240574,0.0,28.734274,0.0,0.62706554,0.083756998,,,1.366441,168.75444,460.94547,21.558355,10.013376,,226.2789,152.0466,413.74802,0.410748
"IDLI, SEMOLINA",,,,,,,R,,14.088119,1.020926,55.036095,9.5409269,45.72583,0.0,39.037693,69.473656,3.3537521,2.3135655,0.1513644,0.041665275,0.93177009,0.095638052,0.0,22.485723,0.0,0.70749074,0.167265,,,1.639935,164.93423,391.5863,22.303473,9.2730722,,152.48099,107.41427,457.90222,1.214137
"JACK FISH, FRESH, DEEP-FRIED",,,,,,,R,,24.923,11.8855,1.24125,0.54400003,1.0695,53.452,38.857998,48.731499,2.78005,0.83319998,0.069456249,0.11523125,3.1070373,0.10650625,2.371875,7.6210313,0.0,0.20542499,0.078249998,,,1.55525,272.31,410.36252,96.079239,73.824005,,,,,
"JACK FRUIT SEEDS AND VEGETABLE, NFS, TEMPERED",,,,,,,R,,3.823427916,8.870390892,7.61826086,6.518497944,3.499647856,0.0,36.7298317,37.52238464,0.673453808,0.311774999,0.052390605,0.055305548,0.894284785,0.125319749,,49.99983978,13.24593163,16.03080368,0.082246788,,,0.507568359,41.00344849,350.7660828,5.804380417,1.702697515,,,,,1.937668681
"JACK FRUIT SEEDS AND VEGETABLE, NFS, W/ COCONUT MILK",,,,,,,R,,3.690796852,10.43182945,8.269203186,4.772016048,2.61290741,0.0,99.10800934,29.62656212,1.60033226,0.533001125,0.055101529,0.03954947,0.932787836,0.092320301,,39.22044373,9.226873398,24.12059593,0.102913305,,,0.308053792,31.45910263,269.0618896,4.081532955,1.395635247,,,,,1.254726887
"JACK MACKEREL, CANNED, TEMPERED",,,,,,,R,,14.749747,7.388051,2.267751,1.195402,0.79106301,21.83004,118.68902,31.432699,1.907125,1.4535561,0.01292299,0.17462461,0.64134216,0.46040729,1.8209125,42.067554,2.2725194,10.708673,0.047699001,,,0.355896,180.49983,184.7345,51.457966,67.354675,,,,,
"JACK MACKEREL, CANNED, TEMPERED, W/ COCONUT MILK",,,,,,,R,,10.0,17.3,3.2,1,1.5,26.1,21.0,21.1,1.0,0.41,0.07,0.13,5.2,0.18,1.2665401,4.0,3.0,78.0,0.3,1.1,5.8,,,,,,,,,,
"JACK MACKEREL, FRESH, BOILED",,,,,,,R,,11.827334,2.135818,3.251961,1.668628,0.42186201,17.13204,102.30904,29.965414,1.6707323,1.1832354,0.019263839,0.14920625,0.61183774,0.36738858,1.4290375,33.841995,2.5766902,20.197735,0.048393998,,,0.290988,147.13934,176.56567,41.259193,53.385632,,,,,
"JACK MACKEREL, FRESH, BOILED AND TEMPERED, W/ COCONUT MILK",,,,,,,R,,10.0,17.3,3.2,1,1.5,26.1,21.0,21.1,1.0,0.41,0.07,0.13,5.2,0.18,1.2665401,4.0,3.0,78.0,0.3,1.1,5.8,,,,,,,,,,
"JACK MACKEREL, FRESH, BOILED, W/ COCONUT MILK",,,,,,,R,,14.2,14.6,1.8,0.5,1.0,39.5,14.0,22.0,0.85,0.51,0.07,0.18,7.1,0.19,1.7765,2.3,0.4,69.0,0.3,1.0,9.3,,,,,,,,,,
JACKFRUIT,35.0,8.2,0.6,0.2,,,S,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JACKFRUIT SEED, TEMPERED, W/ COCONUT MILK",,,,,,,R,,4.224525,14.083085,10.116415,5.0717998,3.7617452,0.0,97.750648,32.021149,1.494935,0.56994998,0.052637301,0.0190285,0.51717907,0.066884153,,31.973072,8.6312618,15.367915,0.083884999,,,0.21107501,25.440689,290.34851,2.80512,0.4237,,110.5752,18.326443,153.27632,1.461275
"JACKFRUIT SEED, W/ COCONUT MILK",,,,,,,R,,4.2,13.3,10.3,5.3,5.2,0.0,36.0,29.0,1.08,0.26,0.03,0.02,0.2,0.03,0.0,30.1,3.7,42.0,0.1,0.9,0.1,,,,,,,,,,
"JACKFRUIT SEEDS, DRY",,,,,,,R,,5.4,13.4,11.3,8.2,7.3,0.0,52.0,39.9,0.93,0.35,0.05,0.05,0.5,0.06,0.0,47.5,8.2,138.0,0.2,2.6,0.2,,,,,,,,,,
"JACKFRUIT, RIPE, RAW",,,,,,,S,,2.7,0.2,14.0,3.6,0.5,0.0,35.0,31.8,0.36,0.14,0.05,0.01,0.4,0.22,0.0,32.2,6.7,0.0,0.1,0.3,0.2,,,,,,,,,,
JAGGERY,,,,,Main Dish,No,S,557.0,0.0,0.0,92.9,0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
JAM,,,,,,,S,,0.6,0.0,69.0,0,0.0,0.0,12.0,5.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.02,19.0,77.0,32.0,2.0,0.0,0.01,0.038,0.0,48.5
JAM PAAN,100.0,55.0,7.0,8.0,,,S,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JELLY JUJUB,4.0,3.4,0.0,0.0,,,S,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JUICE, SWEETENED",,,,,,,S,,0.4,0.0,10.3,0,0.0,0.0,7.0,7.0,0.07,0.0,0.17,0.02,0.3,0.06,0.0,11.0,33.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"KANKUN, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",,,,,,,R,,3.7,13.1,5.5,4.5,0.1,0.0,92.0,15.9,3.58,0.22,0.04,0.11,0.4,0.03,0.0,10.7,18.3,261.0,0.8,1.3,0.0,,,,,,,,,,
"KANKUN, TEMPERED",,,,,,,R,,2.6,3.9,4.0,2,0.6,0.0,84.0,10.2,3.07,0.09,0.05,0.12,0.7,0.03,0.0,5.8,23.4,281.0,0.1,1.4,0.1,,,,,,,,,,
"KANKUN, TEMPERED MALLUM W/ SCRAPED COCONUT",,,,,,,R,,4.0,19.9,5.7,5,0.1,0.0,99.0,16.8,3.86,0.24,0.04,0.11,0.5,0.03,0.0,11.4,18.7,282.0,1.0,1.3,0.0,,,,,,,,,,
"KATHURUMURUNGA, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",,,,,,,R,,7.0,8.9,6.1,8.8,2.9,0.0,688.0,84.4,3.63,0.55,0.14,0.22,0.7,0.12,0.0,98.6,1.8,1593.0,1.9,1.6,2.1,,,,,,,,,,
"KATHURUMURUNGA, TEMPERED MALLUM W/SCRAPED COCONUT",,,,,,,R,,6.1,12.7,5.6,7.9,2.5,0.0,588.0,73.2,3.15,0.49,0.12,0.19,0.6,0.11,0.0,85.2,1.9,1359.0,1.7,1.6,1.5,,,,,,,,,,
KAVUM,,,,,Side Dish,Yes,S,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KENDA, FINGER MILLET",,,,,,,R,,2.5487068,13.867081,11.381498,1.4856118,5.7235174,0.0,32.652157,15.039546,1.4581234,0.62726575,0.041737724,0.019885127,0.6119169,0.0684973,0.0,16.164854,2.9191108,6.3755531,0.03135138,,,0.17419195,28.882883,86.428879,1.8610671,0.99358928,,38.437717,48.486828,66.384285,1.4212532
"KENDA, LEAFY VEGETABLE & RICE",,,,,,,R,,1.4,0.3,11.6,0.8,9.8,0.0,83.0,51.1,2.52,0.59,13.51,14.96,0.6,0.0,0.0,0.0,2.0,235.0,92.1,0.3,0.5,,,,,,,,,,
KIBULA BANIS,50.0,30.0,3.0,4.0,,,S,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KIDNEY BEANS, BOILED & TEMPERED",,,,,,,R,,7.690844059,5.297588348,15.97943687,0.355558991,13.08696175,0.0,32.52494049,45.02121735,1.992735028,0.942492008,0.160268411,0.056181099,0.570871413,0.11940895,,31.00121498,2.836589813,2.317739248,0.183254987,,,0.324018002,135.8451385,394.0614014,6.354931831,5.429284096,,,,,0.576492012
"KIDNEY BEANS, BOILED & TEMPERED, W/ COCONUT MILK",,,,,,,R,,10.3,9.3,21.8,10.9,17.6,0.0,55.0,73.0,3.35,1.4,0.19,0.08,2.2,0.13,0.0,60.4,3.0,30.0,0.3,1.3,1.0,,,,,,,,,,
"KIDNEY BEANS, BOILED, W/ COCONUT MILK",,,,,,,R,,10.3,3.9,21.8,10.9,17.6,0.0,55.0,73.0,3.36,1.4,0.19,0.08,2.2,0.13,0.0,60.3,3.0,31.0,0.3,1.2,1.3,,,,,,,,,,
KIRI HODHI,,,,,Lunch,No,S,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIRI HODHI,,,,,Snack,No,S,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIRI HODI,100.0,4.0,1.0,9.0,,,S,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIRIBATH,100.0,16.0,1.9,7.0,Breakfast,No,S,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIRIBATH,100.0,16.0,1.9,7.0,Lunch,No,S,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KOHLRABI, BOILED, W/ COCONUT MILK",,,,,,,R,,3.150048,16.464243,6.1917391,2.7848771,0.74612302,0.0,115.90562,20.288019,1.6213369,0.63488299,0.060731199,0.053311151,0.87506306,0.1761965,,20.877323,48.818405,9.7819414,0.176911,,,0.330037,40.096474,308.02829,22.681339,0.24446499,,99.546188,32.921371,151.8131,0.23944899
KOKIS,,,,,Side Dish,Yes,S,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLA KENDA,,,,,Dessert,No,S,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLA MALLUM,50.0,5.0,1.0,5.0,,,S,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLUKKATTA / MOTHAGAM,,,,,,,R,,7.272830009,5.182547092,37.12477493,3.289150953,20.55449104,0.0,25.90342522,36.56858444,1.761094332,0.843169808,0.080696225,0.035573587,0.495792478,0.134200007,,16.37704468,0.0,3.6836133,0.093603775,,,0.560735881,97.80188751,272.8717041,5.634320736,10.31858444,,,,,0.574547172
KOTMALE VANILLA MILK,,21.0,3.4,3.0,,,S,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTTU,,,,,Side Dish,Yes,S,327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUKUL MAS CURRY,,,,,Breakfast,Yes,S,490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUKUL MAS CURRY,,,,,Breakfast,No,S,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KUNISSA SHRIMP, FRESH, TEMPERED",,,,,,,R,,12.588754,15.32516,8.9233294,3.2072918,2.161869,50.175961,51.852383,53.711273,1.1377699,1.052865,0.056299951,0.055190001,1.142831,0.20503834,0.3508065,31.001633,15.64043,53.132305,0.087438002,,,1.6024081,160.21291,347.8009,141.1456,33.948509,,,,,
"KUNISSA SHRIMP, FRESH, TEMPERED, W/ COCONUT MILK",,,,,,,R,,10.6,9.4,3.4,1.5,1.5,45.7,42.0,40.4,1.16,0.84,0.03,0.03,0.7,53.77,0.3196215,998.5,5.7,54.0,2.1,1.3,0.3,,,,,,,,,,
KURAKKAN ROTI,,,,,Dessert,No,S,567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURAKKAN ROTI,,,,,Side Dish,No,S,569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURUMBA,650.0,8.9,2.2,4.1,,,S,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LADDU,SEMOLINA",,,,,,,R,,4.2,17.9,60.0,4,18.6,0.0,16.0,19.4,1.23,0.81,0.07,0.02,0.3,0.03,0.0,10.1,0.0,0.0,0.3,0.9,0.0,,,,,,,,,,
"LADIES FINGERS AND DRIED FISH, TEMPERED",,,,,,,R,,17.000872,9.0506897,5.5440121,4.3181362,1.520384,37.148094,108.70194,86.623604,2.0257835,1.2897202,0.047958251,0.13438714,1.8357102,0.4738175,0.84179956,125.97701,16.022579,28.040438,0.405884,,,0.50824261,156.04526,494.03833,2888.9397,117.74208,,,,,
"LADIES FINGERS AND DRIED FISH, TEMPERED, W/ COCONUT MILK",,,,,,,R,,8.5,18.9,6.1,2.3,2.6,15.4,57.0,44.3,1.29,0.44,0.05,0.07,1.1,0.16,0.31178904,28.0,7.1,41.0,0.5,0.8,0.1,,,,,,,,,,
"LADIES FINGERS, TEMPERED",,,,,,,R,,3.3,11.7,10.6,6.5,2.1,0.0,98.0,81.2,1.93,0.69,0.07,0.1,1.1,0.24,0.0,75.0,21.4,109.0,0.7,2.1,0.3,,,,,,,,,,
"LADIES FINGERS, TEMPERED, W/ COCONUT MILK",,,,,,,R,,2.9,15.8,7.5,4.5,2.9,0.0,86.0,62.8,1.97,0.5,0.03,0.06,0.5,0.13,0.0,49.5,11.1,71.0,0.5,1.5,0.2,,,,,,,,,,
"LADIES FINGERS, W/ COCONUT MILK",,,,,,,R,,2.2,10.2,5.6,3.1,2.1,0.0,62.0,46.3,1.23,0.35,0.02,0.04,0.3,0.1,0.0,37.6,8.2,41.0,0.3,0.9,0.2,,,,,,,,,,
"LASIA STEM, RAW",,,,,,,S,,4.1,0.83,2.03,4.05,1.82,,19.5,20.32,0.25,0.3,,0.02,0.1,0.17,,56.76,5.56,300.0,0.02,,,0.54,12.77,120.0,13.87,6.68,,269.0,27.64,368.0,0.02
"LASIA STEM, TEMPERED MALLUM W/ SCRAPED COCONUT",,,,,,,R,,0.7,5.6,8.0,0.8,0.1,0.0,166.0,22.2,1.21,9.48,0.02,0.04,0.0,0.01,0.0,2.7,7.2,51.0,0.2,1.1,0.0,,,,,,,,,,
"LASIA STEM, W/ COCONUT MILK",,,,,,,R,,1.1,5.6,7.2,0.7,1.3,0.0,109.0,18.2,1.19,5.74,0.02,0.03,0.1,0.02,0.0,3.5,5.5,57.0,0.0,0.7,0.1,,,,,,,,,,
LAVARIYA,100.0,65.0,4.0,10.0,,,R,310.0,4.064278126,4.335048199,44.74222183,1.110843897,2.576849461,0.0,28.83132935,10.25750828,1.698128223,0.72465688,0.048479531,0.025168478,0.750081301,0.189755365,,10.91814137,0.0,1.046268106,0.036195289,,,0.142302543,25.93286324,75.8353653,2.700310469,3.899514198,,,,,0.083737321
"LEAFY GREENS, NFS, AND DRIED FISH, NFS, TEMPERED",,,,,,,R,,21.131659,7.5486746,6.2669487,5.2783079,2.5838006,45.351917,161.27927,99.742531,3.3043323,1.7166394,0.048267305,0.19031994,2.0789416,0.56163645,1.0277034,138.44347,27.646551,508.65421,0.28023785,,,0.65372384,175.88454,615.82806,3532.2305,150.85909,,,,,
"LEAVES, NFS, BOILED, W/ COCONUT MILK",,,,,,,R,,4.222723007,14.10889912,6.885292053,4.184862137,1.555563807,0.0,221.6204071,55.07598114,3.086734533,1.063493013,0.054128677,0.138166308,0.967351317,0.29992336,,46.06773758,27.4624939,745.2289429,0.284219116,,,0.312786549,48.49850464,332.1577454,15.87665272,10.0647459,,,,,0.7910344
"LEAVES, NFS, FRESH OR WATER-COOKED MALLUM, W/ SCRAPED COCONUT",,,,,,,R,,4.557992458,12.14378643,5.335762501,7.945581436,2.988070488,0.0,163.4723816,78.74659729,2.922147989,1.124038935,0.039828822,0.178876922,0.735677063,0.376783371,,55.44017792,37.2275238,816.8736572,0.447599977,,,0.640477777,87.13192749,492.8413696,30.98288345,21.46967125,,,,,1.140944362
"LEAVES, NFS, TEMPERED",,,,,,,R,,4.289451599,5.68130064,6.499809265,5.976947784,3.34094429,0.0,174.7946014,74.15625763,3.050265789,0.939578474,0.05336003,0.195261538,0.768937826,0.416922092,,59.84657288,43.00003052,905.7293091,0.377484858,,,0.552826285,72.58129883,479.1144714,21.55625153,12.92704201,,,,,1.685518622
"LEAVES, NFS, TEMPERED MALLUM, W/ SCRAPED COCONUT",,,,,,,R,,4.335134506,16.86618614,5.136384964,7.478957176,2.836349487,0.0,157.5724182,75.05489349,2.789301157,1.06170702,0.038768616,0.17165722,0.706038594,0.36212039,,53.33901215,35.98104477,786.9041138,0.424245447,,,0.60448879,82.21939087,469.5899963,29.01511192,20.00581932,,,,,1.128360033
"LEEKS AND DRIED FISH, TEMPERED",,,,,,,R,,17.4,6.5,5.6,0.2,0.5,0.0,109.0,14.4,7.56,1.39,0.07,0.06,4.5,0.0,0.9499796,1.4,8.6,32.0,0.0,1.0,1.3,,,,,,,,,,
